C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 16/10/2023, 16:28:20, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 16/10/2023, 16:28:31, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 16/10/2023, 16:28:31, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 16/10/2023, 16:28:35, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 16/10/2023, 16:29:36, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 16/10/2023, 18:55:45, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 16/10/2023, 18:55:45, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 17/10/2023, 8:55:49, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 17/10/2023, 8:55:56, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 17/10/2023, 12:52:15, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 17/10/2023, 12:52:15, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 17/10/2023, 16:18:19, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 17/10/2023, 16:18:22, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 17/10/2023, 22:57:14, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 17/10/2023, 22:57:14, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 18/10/2023, 8:01:31, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 18/10/2023, 8:01:35, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 18/10/2023, 18:37:29, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 18/10/2023, 18:37:29, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 19/10/2023, 11:24:58, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 19/10/2023, 11:25:02, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 19/10/2023, 12:15:48, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 19/10/2023, 12:15:48, Usuario, Cerrado
C:\Users\Usuario\AppData\Roaming\Microsoft\Excel\XLSTART\PERSONAL.XLSB, 19/10/2023, 12:16:03, Usuario, Abierto
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 19/10/2023, 12:16:05, Usuario, Abierto
C:\Program Files\Microsoft Office\root\Office16\Library\SOLVER\SOLVER.XLAM, 19/10/2023, 19:03:13, Usuario, Cerrado
C:\Users\Usuario\Desktop\Curso de Excel_Y_VBA\VBA\MACROS.xlsm, 19/10/2023, 19:03:14, Usuario, Cerrado
